,AID,Species,Image,Region,Year,Aircraft,TL,RB,BaroAlt,Launch_Ht,LaserAlt,Altitude,Focal_Length,Iw,Sw,perDif
85,BB190301_A_F1-01,antarctic minke,190306_A_F6_DSC09946.JPG,WAP,2019,Alta 6,7.39,NA,44.14,1.807,41.64,41.64,35,6000,23.5,10.34341979
86,BB190302_A_F2-01,antarctic minke,190302_A_F2_DSC06997.JPG,WAP,2019,Alta 6,7.9,NA,31.41,1.807,34.315,34.315,35,6000,23.5,3.199766866
87,BB190302_A_F2-01,antarctic minke,190302_A_F2_DSC07001.JPG,WAP,2019,Alta 6,7.66,NA,31.41,1.807,34.315,34.315,35,6000,23.5,3.199766866
88,BB190302_A_F2-01,antarctic minke,190302_A_F4_DSC07269.JPG,WAP,2019,Alta 6,7.73,NA,31.59,1.807,28.19,28.19,35,6000,23.5,18.47108904
89,BB190302_A_F2-01,antarctic minke,190302_A_F4_DSC07272.JPG,WAP,2019,Alta 6,7.55,NA,31.72,1.807,28.4,28.4,35,6000,23.5,18.0528169
90,BB190302_A_F2-01,antarctic minke,190305_A_F1_DSC08442.JPG,WAP,2019,Alta 6,7.16,NA,19.05,1.807,15.905,15.905,35,6000,23.5,31.13486325
91,BB190302_A_F2-01,antarctic minke,190302_A_F2_DSC06997.JPG,WAP,2019,Alta 6,NA,1.2,31.41,1.807,34.315,34.315,35,6000,23.5,3.199766866
92,BB190302_A_F2-01,antarctic minke,190302_A_F2_DSC07001.JPG,WAP,2019,Alta 6,NA,1.18,31.41,1.807,34.315,34.315,35,6000,23.5,3.199766866
93,BB190302_A_F2-01,antarctic minke,190302_A_F4_DSC07269.JPG,WAP,2019,Alta 6,NA,1.08,31.59,1.807,28.19,28.19,35,6000,23.5,18.47108904
94,BB190302_A_F2-01,antarctic minke,190302_A_F4_DSC07272.JPG,WAP,2019,Alta 6,NA,1.17,31.72,1.807,28.4,28.4,35,6000,23.5,18.0528169
95,BB190302_A_F2-02-48,antarctic minke,190302_A_F2_DSC07077.JPG,WAP,2019,Alta 6,8.62,1.22,30.12,1.807,28.99,28.99,35,6000,23.5,10.13107968
96,BB190302_A_F4-03-52,antarctic minke,190302_A_F4_DSC07194.JPG,WAP,2019,Alta 6,8.09,1.19,31.6,1.807,29.575,29.575,35,6000,23.5,12.95688926
97,BB190305_A_F3-01,antarctic minke,190305_A_F3_DSC08715.JPG,WAP,2019,Alta 6,5.05,0.71,20.26,1.807,17.92,17.92,35,6000,23.5,23.14174107
98,BB190305_A_F3-01,antarctic minke,190305_A_F3_DSC08717.JPG,WAP,2019,Alta 6,4.89,NA,19.98,1.807,17.76,17.76,35,6000,23.5,22.67454955
99,BB190305_A_F3-01,antarctic minke,190306_A_F3_DSC09134.JPG,WAP,2019,Alta 6,5.4,NA,46.72,1.807,47.3,47.3,35,6000,23.5,2.594080338
100,BB190305_A_F3-01,antarctic minke,190306_A_F3_DSC09169.JPG,WAP,2019,Alta 6,5.26,NA,37.27,1.807,37.81,37.81,35,6000,23.5,3.350965353
101,BB190305_A_F3-01,antarctic minke,190306_A_F3_DSC09219.JPG,WAP,2019,Alta 6,4.97,NA,24.97,1.807,27.42,27.42,35,6000,23.5,2.345003647
102,BB190306_A_F6-01,antarctic minke,190306_A_F6_DSC09517.JPG,WAP,2019,Alta 6,8.24,NA,42.81,1.807,42.06,42.06,35,6000,23.5,6.079410366
103,BB190306_A_F6-01,antarctic minke,190306_A_F6_DSC09531.JPG,WAP,2019,Alta 6,7.9,NA,43.14,1.807,41.65,41.65,35,6000,23.5,7.915966387
104,BB190306_A_F6-01,antarctic minke,190306_A_F6_DSC09724.JPG,WAP,2019,Alta 6,8.03,NA,43.33,1.807,40,40,35,6000,23.5,12.8425
105,BB190306_A_F6-01,antarctic minke,190306_A_F6_DSC09810.JPG,WAP,2019,Alta 6,7.82,1.19,43.95,1.807,40.15,40.15,35,6000,23.5,13.96513076
106,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09429.JPG,WAP,2019,Alta 6,6.81,NA,43.14,1.807,41.76,41.76,35,6000,23.5,7.631704981
107,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09430.JPG,WAP,2019,Alta 6,6.79,NA,43.14,1.807,41.76,41.76,35,6000,23.5,7.631704981
108,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09430.JPG,WAP,2019,Alta 6,6.79,NA,43.14,1.807,41.76,41.76,35,6000,23.5,7.631704981
109,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09553.JPG,WAP,2019,Alta 6,6.95,NA,42.55,1.807,41.785,41.785,35,6000,23.5,6.155318894
110,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09820.JPG,WAP,2019,Alta 6,6.71,1.02,43.1,1.807,40.91,40.91,35,6000,23.5,9.770227328
111,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09820.JPG,WAP,2019,Alta 6,6.71,1.02,43.1,1.807,40.91,40.91,35,6000,23.5,9.770227328
112,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09871.JPG,WAP,2019,Alta 6,6.87,0.98,43.27,1.807,40.52,40.52,35,6000,23.5,11.24629812
113,BB190306_A_F6-02,antarctic minke,190306_A_F6_DSC09871.JPG,WAP,2019,Alta 6,6.87,0.98,43.27,1.807,40.52,40.52,35,6000,23.5,11.24629812
114,BB190306_A_F6-03,antarctic minke,190306_A_F6_DSC09603.JPG,WAP,2019,Alta 6,7.62,1.19,43.04,1.807,41.54,41.54,35,6000,23.5,7.961001444
115,BB190306_A_F6-04,antarctic minke,190306_A_F6_DSC09723.JPG,WAP,2019,Alta 6,7.75,NA,43.59,1.807,40,40,35,6000,23.5,13.4925
116,BB190306_A_F6-04,antarctic minke,190306_A_F6_DSC09754.JPG,WAP,2019,Alta 6,8.09,1.17,43.35,1.807,40.92,40.92,35,6000,23.5,10.35434995
117,BB190306_A_F6-04,antarctic minke,190306_A_F6_DSC09757.JPG,WAP,2019,Alta 6,8.02,1.17,43.35,1.807,40.92,40.92,35,6000,23.5,10.35434995
118,BB190306_A_F9-05,antarctic minke,190306_A_F9_DSC00072.JPG,WAP,2019,Alta 6,5.5,NA,31.1,1.807,28.95,28.95,35,6000,23.5,13.66839378
119,BB190306_A_F9-05,antarctic minke,190306_A_F9_DSC00075.JPG,WAP,2019,Alta 6,5.47,0.73,31.1,1.807,28.95,28.95,35,6000,23.5,13.66839378
120,BB190309_A_F1-01-52,antarctic minke,190309_A_F1_DSC00090.JPG,WAP,2019,Alta 6,7.16,1.08,23.63,1.807,24.06,24.06,35,6000,23.5,5.72319202
121,BB190310_A_F1-01,antarctic minke,190310_A_F1_DSC00522.JPG,WAP,2019,Alta 6,7.32,1.14,36.11,1.807,34.48,34.48,35,6000,23.5,9.968097448
122,BB190310_A_F1-01,antarctic minke,190310_A_F1_DSC00637.JPG,WAP,2019,Alta 6,7.38,NA,36.27,1.807,31.99,31.99,35,6000,23.5,19.02782119
123,BB190310_A_F1-02,antarctic minke,190310_A_F1_DSC00543.JPG,WAP,2019,Alta 6,7.08,1.12,30.26,1.807,27.24,27.24,35,6000,23.5,17.72026432
124,BB190310_A_F1-02,antarctic minke,190310_A_F1_DSC00575.JPG,WAP,2019,Alta 6,7.07,NA,30.41,1.807,26.81,26.81,35,6000,23.5,20.16784782
